,Country,Life expectancy at birth,Expected years of schooling,Mean years of schooling
156,Iraq,70.6,11.3,7.3
157,Ukraine,72.1,15.1,11.4
158,Burkina Faso,61.6,9.3,1.6
159,Luxembourg,82.3,14.3,12.3
160,Seychelles,73.4,14.1,10.0
161,Saint Kitts and Nevis,74.8,13.8,8.7
162,Norway,82.4,18.1,12.9
163,Djibouti,67.1,6.8,4.1
164,Namibia,63.7,12.6,7.0
165,Moldova (Republic of),71.9,11.5,11.7
166,Nepal,70.8,12.8,5.0
167,United States,78.9,16.3,13.4
168,Kenya,66.7,11.3,6.6
169,Togo,61.0,12.7,4.9
170,Nigeria,54.7,10.0,6.7
171,Benin,61.8,12.6,3.8
172,South Sudan,57.9,5.3,4.8
173,Congo,64.6,11.7,6.5
174,Antigua and Barbuda,77.0,12.8,9.3
175,Australia,83.4,22.0,12.7
176,Sao Tome and Principe,70.4,12.7,6.4
177,Bulgaria,75.1,14.4,11.4
178,Spain,83.6,17.6,10.3
179,Jordan,74.5,11.4,10.5
180,Kuwait,75.5,14.2,7.3
181,Guinea-Bissau,58.3,10.6,3.6
182,Argentina,76.7,17.7,10.9
183,Bolivia (Plurinational State of),71.5,14.2,9.0
184,Cambodia,69.8,11.5,5.0
185,Bhutan,71.8,13.0,4.1
186,"Hong Kong, China (SAR)",84.9,16.9,12.3
187,United Kingdom,81.3,17.5,13.2
188,Austria,81.5,16.1,12.5
